Date,Revenue,MA_7,MA_30,Month_Name,Month_Number,Weekday,Weekend,Year,Month,Quarter,Week,Day,DayOfWeek,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Lag_30,RollingMean7,RollingMean14,RollingMean30,RollingStd7,RollingStd30
2017-12-26,27678.52,21666.481428571427,40365.41166666667,December,12,Tuesday,0,2017,12,4,52,26,1,14827.61,7373.41,17211.87,28832.49,47660.12,69414.61,21666.481428571427,28654.217857142856,40365.41166666667,10225.42652838881,17877.893974972198
2017-12-27,25253.53,19635.181428571428,38522.57433333333,December,12,Wednesday,0,2017,12,4,52,27,2,27678.52,14827.61,7373.41,39472.63,57326.24,80538.65,19635.181428571428,26363.309999999998,38522.57433333333,7003.342283044397,16380.762584493565
2017-12-28,19610.17,19084.04857142857,36461.14566666666,December,12,Thursday,0,2017,12,4,52,28,3,25253.53,27678.52,14827.61,23468.1,32906.09,81453.03,19084.04857142857,25413.601428571426,36461.14566666666,6800.293469324992,14584.737502069594
2017-12-29,23220.2,19310.75857142857,35317.223333333335,December,12,Friday,0,2017,12,4,52,29,4,19610.17,25253.53,27678.52,21633.23,38454.78,57537.87,19310.75857142857,24325.41714285714,35317.223333333335,6924.757376366637,14215.775666863798
2017-12-30,17388.92,19336.051428571427,34456.94533333333,December,12,Saturday,1,2017,12,4,52,30,5,23220.2,19610.17,25253.53,17211.87,26167.17,43197.26,19336.051428571427,23698.399285714284,34456.94533333333,6916.131390792892,14500.519362794761
2017-12-31,10913.35,19841.757142857143,32903.02533333333,December,12,Sunday,1,2017,12,4,52,31,6,17388.92,23220.2,19610.17,7373.41,25305.02,57530.95,19841.757142857143,22670.422857142858,32903.02533333333,5958.805557161075,14440.290808996393
2018-01-01,9863.77,19132.63714285714,31922.208333333332,January,1,Monday,0,2018,1,1,1,1,0,10913.35,17388.92,23220.2,14827.61,40501.89,39288.28,19132.63714285714,20481.985714285718,31922.208333333332,6879.229361397999,14980.808079045732
2018-01-02,35947.090000000004,20313.86142857143,31689.147333333334,January,1,Tuesday,0,2018,1,1,1,2,1,9863.77,10913.35,17388.92,27678.52,28832.49,42938.92,20313.86142857143,20990.17142857143,31689.147333333334,8980.251063911164,14857.386325033433
2018-01-03,42933.7,22839.600000000002,31013.675,January,1,Wednesday,0,2018,1,1,1,3,2,35947.090000000004,9863.77,10913.35,25253.53,39472.63,63197.87,22839.600000000002,21237.390714285713,31013.675,12426.254055485244,13798.386210392047
2018-01-04,44484.96,26393.141428571427,30701.210666666666,January,1,Thursday,0,2018,1,1,1,4,3,42933.7,35947.090000000004,9863.77,19610.17,23468.1,53858.89,26393.141428571427,22738.595,30701.210666666666,14697.899700986012,13362.468090591005
2018-01-05,41810.24,29048.86142857143,30163.898666666664,January,1,Friday,0,2018,1,1,1,5,4,44484.96,42933.7,35947.090000000004,23220.2,21633.23,57929.6,29048.86142857143,24179.809999999998,30163.898666666664,15675.984624815275,12527.865866870654
2018-01-06,47725.58,33382.67,30332.64466666667,January,1,Saturday,1,2018,1,1,1,6,5,41810.24,44484.96,42933.7,17388.92,17211.87,42663.2,33382.67,26359.360714285714,30332.64466666667,16102.853106860628,12734.424066999873
2018-01-07,41294.45,37722.82714285714,30381.966666666667,January,1,Sunday,1,2018,1,1,1,7,6,47725.58,41810.24,44484.96,10913.35,7373.41,39814.79,37722.82714285714,28782.292142857146,30381.966666666667,12791.13262133792,12775.216105170335
2018-01-08,58436.55,44661.79571428571,31480.427333333337,January,1,Monday,0,2018,1,1,2,8,0,41294.45,47725.58,41810.24,9863.77,14827.61,25482.73,44661.79571428571,31897.21642857143,31480.427333333337,7042.3090234023175,13721.160226006858
2018-01-09,44065.1,45821.51142857142,31878.852666666666,January,1,Tuesday,0,2018,1,1,2,9,1,58436.55,41294.45,47725.58,35947.090000000004,27678.52,32112.34,45821.51142857142,33067.686428571425,31878.852666666666,5952.031370460523,13912.34789005848
2018-01-10,65117.77,48990.66428571429,32562.818333333336,January,1,Wednesday,0,2018,1,1,2,10,2,44065.1,58436.55,41294.45,42933.7,25253.53,44598.8,48990.66428571429,35915.13214285714,32562.818333333336,9185.690826811051,15019.57755150034
2018-01-11,75315.82,53395.072857142855,33484.675,January,1,Thursday,0,2018,1,1,2,11,3,65117.77,44065.1,58436.55,44484.96,19610.17,47660.12,53395.072857142855,39894.107142857145,33484.675,13185.73878613518,16729.531629179488
2018-01-12,52789.91,54963.59714285715,33333.464,January,1,Friday,0,2018,1,1,2,12,4,75315.82,65117.77,44065.1,41810.24,23220.2,57326.24,54963.59714285715,42006.22928571429,33333.464,12193.702163608466,16525.868500501496
2018-01-13,36574.33,53370.561428571425,33455.738666666664,January,1,Saturday,1,2018,1,1,2,13,5,52789.91,75315.82,65117.77,47725.58,17388.92,32906.09,53370.561428571425,43376.61571428571,33455.738666666664,13905.215742728104,16536.16474761844
2018-01-14,41220.98,53360.065714285716,33547.94533333334,January,1,Sunday,1,2018,1,1,2,14,6,36574.33,52789.91,75315.82,41294.45,10913.35,38454.78,53360.065714285716,45541.44642857143,33547.94533333334,13915.873667895514,16572.672862985128
2018-01-15,57469.17,53221.868571428575,34591.34533333333,January,1,Monday,0,2018,1,1,3,15,0,41220.98,36574.33,52789.91,58436.55,9863.77,26167.17,53221.868571428575,48941.83214285714,34591.34533333333,13861.755515450177,17069.87639806794
